themes_clean,movie_count,total_profit,average_rating
Crime and Justice,57,6011679783.0,8.329824561403512
Violence,50,7096710235.0,8.336000000000007
Friendship,49,12646405771.0,8.302040816326539
Survival,36,8707575809.0,8.32222222222222
Overcoming Adversity,33,5516912999.0,8.387878787878789
Betrayal,30,2338507270.0,8.353333333333328
Destiny,29,12410634825.0,8.40344827586207
Hero’s Journey,26,9017728006.0,8.376923076923076
Mental Health,24,3807240323.0,8.304166666666664
War,21,4664871986.0,8.299999999999997
Redemption,19,4767376606.0,8.352631578947367
Social Inequality,17,864751860.0,8.282352941176471
Family,17,2352104885.0,8.358823529411765
Moral Dilemma,16,1981814807.0,8.4375
Revenge,15,1770684299.0,8.366666666666667
Political Corruption,12,1139230686.0,8.20833333333333
Identity Crisis,9,2535552870.0,8.28888888888889
Comedy,8,574846818.0,8.275
Disability,7,700744441.0,8.200000000000001
Aliens,7,927310040.0,8.371428571428572
Super-Hero,6,7588200981.0,8.416666666666666
Technology and AI,6,1069567820.0,8.383333333333333
LGBTI+,6,807568506.0,8.233333333333334
Music,6,230889338.0,8.366666666666667
Dystopia,6,935656222.0,8.333333333333334
Coming of Age,6,1150208498.0,8.266666666666667
Addiction,4,376210363.0,8.175
Psychological Abuse,3,339915259.0,8.1
Environmental Disaster,2,406988264.0,8.25
Apocalypse,2,300829540.0,8.1
Psychological,1,214804195.0,8.2
Happy Ending,1,791000.0,8.1
