Title,Genre,Year,Rating,Director
The Shawshank Redemption,Drama,1994,9.3,Frank Darabont
The Godfather,Drama,1972,9.2,Francis Ford Coppola
The Dark Knight,"Action, Drama, Thriller",2008,9.0,Christopher Nolan
The Godfather Part II,Drama,1974,9.0,Francis Ford Coppola
12 Angry Men,Drama,1957,9.0,Sidney Lumet
The Lord of the Rings: The Return of the King,"Adventure, Drama",2003,9.0,Peter Jackson
Schindler's List,"Biography, Drama",1993,9.0,Steven Spielberg
Pulp Fiction,Drama,1994,8.9,Quentin Tarantino
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy",2001,8.9,Peter Jackson
"The Good, the Bad and the Ugly",Adventure,1966,8.8,Sergio Leone
Forrest Gump,"Drama, Romance",1994,8.8,Robert Zemeckis
The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy",2002,8.8,Peter Jackson
Fight Club,"Drama, Thriller",1999,8.8,David Fincher
Inception,"Action, Adventure, Sci-Fi, Thriller",2010,8.8,Christopher Nolan
Star Wars: Episode V - The Empire Strikes Back,N/A,1980,8.7,Irvin Kershner
The Matrix,"Action, Sci-Fi",1999,8.7,Lana Wachowski
Goodfellas,"Biography, Drama",1990,8.7,Martin Scorsese
Interstellar,"Adventure, Drama, Sci-Fi",2014,8.7,Christopher Nolan
One Flew Over the Cuckoo's Nest,Drama,1975,8.7,Milos Forman
Se7en,Drama,1995,8.6,David Fincher
It's a Wonderful Life,"Drama, Fantasy, Romance",1946,8.6,Frank Capra
The Silence of the Lambs,"Drama, Horror, Thriller",1991,8.6,Jonathan Demme
Seven Samurai,"Action, Drama",1954,8.6,Akira Kurosawa
Saving Private Ryan,Drama,1998,8.6,Steven Spielberg
City of God,Drama,2002,8.6,Fernando Meirelles
The Green Mile,"Drama, Fantasy",1999,8.6,Frank Darabont
Life Is Beautiful,"Comedy, Drama, Romance",1997,8.6,Roberto Benigni
Terminator 2: Judgment Day,"Action, Adventure, Sci-Fi",1991,8.6,James Cameron
Star Wars: Episode IV - A New Hope,Action,1977,8.6,George Lucas
Back to the Future,"Adventure, Comedy, Sci-Fi",1985,8.5,Robert Zemeckis
Spirited Away,"Adventure, Animation, Fantasy",2001,8.6,Hayao Miyazaki
The Pianist,"Biography, Drama",2002,8.5,Roman Polanski
Gladiator,"Action, Adventure, Drama",2000,8.5,Ridley Scott
Parasite,"Drama, Thriller",2019,8.5,Bong Joon Ho
Psycho,"Drama, Horror, Thriller",1960,8.5,Alfred Hitchcock
The Lion King,"Adventure, Animation, Drama, Fantasy",1994,8.5,Roger Allers
Grave of the Fireflies,"Animation, Drama",1988,8.5,Isao Takahata
The Departed,"Drama, Thriller",2006,8.5,Martin Scorsese
Whiplash,Drama,2014,8.5,Damien Chazelle
Harakiri,Drama,1962,8.6,Masaki Kobayashi
The Prestige,"Drama, Sci-Fi, Thriller",2006,8.5,Christopher Nolan
American History X,Drama,1998,8.5,Tony Kaye
Léon: The Professional,"Action, Drama, Thriller",1994,8.5,Luc Besson
Spider-Man: Across the Spider-Verse,"Action, Adventure, Animation, Fantasy",2023,8.5,Joaquim Dos Santos
Casablanca,"Drama, Romance",1942,8.5,Michael Curtiz
The Usual Suspects,Drama,1995,8.5,Bryan Singer
The Intouchables,"Comedy, Drama",2011,8.5,Olivier Nakache
Cinema Paradiso,"Drama, Romance",1988,8.5,Giuseppe Tornatore
Alien,"Horror, Sci-Fi",1979,8.5,Ridley Scott
Modern Times,"Comedy, Drama, Romance",1936,8.5,Charles Chaplin
Rear Window,"Drama, Thriller",1954,8.5,Alfred Hitchcock
Once Upon a Time in the West,Drama,1968,8.5,Sergio Leone
Django Unchained,N/A,2012,8.5,Quentin Tarantino
